Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
,,5:19:09,13:19:09:08,13:19:09,,,jye,,
,,5:32:05,13:32:05:01,13:32:05,,,lc,,
,,5:32:31,13:32:31:01,13:32:31,,,red tree coral ,,
,,5:32:55,13:32:55:18,13:32:55,,pause momentarily for clump to catch up,,,
,,5:33:09,13:33:09:07,13:33:09,,resume,,,
,,5:35:07,13:35:07:09,13:35:07,,,halibut,,
,,5:39:15,13:39:15:15,13:39:15,,,ye,1,
,,5:39:50,13:39:50:15,13:39:50,,,"ye gravid, lc",1,
,,5:40:02,13:40:02:13,13:40:02,,,ye,1,
,,5:40:38,13:40:38:21,13:40:38,,,jye,,
,,5:42:27,13:42:27:22,13:42:27,,"pause, reposition under clump",,,
,,5:42:52,13:42:52:14,13:42:52,,resume,,,
,,5:43:59,13:43:59:19,13:43:59,,,ye,1,there is a lingcod here but not yelloweye
,,5:44:20,13:44:20:01,13:44:20,,,ye,1,
,,5:45:05,13:45:05:15,13:45:05,,,"lc feeding, tiger",,
,,5:45:39,13:45:39:21,13:45:39,,,wolf eel,,
,,5:46:50,13:46:50:05,13:46:50,,,"halibut, dead lc",,
,,6:00:27,14:00:27:09,14:00:27,,,lc,,
,,6:01:18,14:01:18:29,14:01:18,,,wolf eel,,
,,6:01:23,14:01:23:22,14:01:23,,,ye,1,
,,6:01:54,14:01:54:01,14:01:54,,,prow-fish,,
,,6:02:23,14:02:23:19,14:02:23,,,lc,,
,,6:03:21,14:03:21:06,14:03:21,,E,,,
,,,,,,,,,
eykt_25,5/16/2017,6:49:00,14:49:00:25,14:49:00,,S,,,
,,6:50:43,14:50:43:27,14:50:43,,,ye (2?),2,
,,7:00:17,15:00:17:08,15:00:17,,,red tree coral ,,
,,7:13:20,15:13:20:26,15:13:20,,,lc,,
,,7:14:18,15:14:18:27,15:14:18,,,lc,,
,,7:17:56,15:17:56:16,15:17:56,,,ye,1,
,,7:29:12,15:29:12:19,15:29:12,,,lc,,
,,7:31:05,15:31:05:18,15:31:05,,,ye,1,
,,7:32:11,15:32:11:17,15:32:11,,,lc,,
,,7:32:31,15:32:31:03,15:32:31,,,lc,,
,,7:32:56,15:32:56:21,15:32:56,,,jye,,
,,7:33:32,15:33:32:09,15:33:32,,E,,,
,,,,,,,,,
eykt_26,5/16/2017,8:03:31,16:03:31:27,16:03:31,,S,,,
,,8:07:56,16:07:56:28,16:07:56,,,sharpchin? emerges from sponge,,
,,8:11:25,16:11:25:08,16:11:25,,,lc 2,,
,,8:17:21,16:17:21:17,16:17:21,,,nice sponge image in belly ,,
,,8:26:19,16:26:19:03,16:26:19,,,red tree coral and ye,1,
,,8:26:42,16:26:42:21,16:26:42,,,ye,1,
,,8:30:04,16:30:04:08,16:30:04,,,ye?,,don't see this fish
,,8:32:58,16:32:58:02,16:32:58,,,lc,,
,,8:38:39,16:38:39:14,16:38:39,,,halibut,,
,,8:45:46,16:45:46:17,16:45:46,,E,,,
,,,,,,,,,
eykt_27,5/16/2017,9:25:05,17:25:05:01,17:25:05,,S,,,
,,9:26:49,17:26:49:03,17:26:49,,,red tree coral with many duskys,,
,,9:33:26,17:33:26:13,17:33:26,,,ye,1,
,,10:02:39,18:02:39:27,18:02:39,,,ratfish,,
,,10:03:18,18:03:18:05,18:03:18,,E,,,
,,,,,,,,,
eykt_28,5/16/2017,10:50:46,18:50:46:08,18:50:46,,S,,,
,,10:55:57,18:55:57:07,18:55:57,,,groundline,,
,,10:57:04,18:57:04:26,18:57:04,,,groundline,,
,,11:00:02,19:00:02:02,19:00:02,,,lc,,
,,11:01:24,19:01:24:09,19:01:24,,,ye,1,
,,11:04:45,19:04:45:00,19:04:45,,,salp?,,
,,11:28:21,19:28:21:07,19:28:21,,E,,,
,,,,,,,,,
eykt_29,5/16/2017,12:09:13,20:09:13:16,20:09:13,,S,,,
,,12:10:06,20:10:06:20,20:10:06,,,jye,,
,,12:18:45,20:18:45:27,20:18:45,,,ye,1,
,,12:19:35,20:19:35:03,20:19:35,,,ye,1,
,,12:21:41,20:21:41:26,20:21:41,,,lc,,
,,12:34:09,20:34:09:05,20:34:09,,,dogfish,,
,,12:35:23,20:35:23:14,20:35:23,,,ye,1,
,,12:44:51,20:44:51:05,20:44:51,,,ye,1,
,,12:46:49,20:46:49:07,20:46:49,,,lc,,
,,12:48:22,20:48:22:10,20:48:22,,E,E,,
,,,,,,,,,
eykt_30,5/16/2017,13:33:27,21:33:27:02,21:33:27,,S,,,
,,13:55:09,21:55:09:10,21:55:09,,,dogfish,,
,,14:01:44,22:01:44:27,22:01:44,,,halibut,,
,,14:06:53,22:06:53:24,22:06:53,,E,,,
,,,,,,,,,
eykt_31,5/16/2017,15:01:16,23:01:16:03,23:01:16,,S,,,
,,15:02:52,23:02:52:03,23:02:52,,,duskys,,
,,15:11:14,23:11:14:11,23:11:14,,,ye gravid,,
,,15:13:09,23:13:09:19,23:13:09,,,halibut,,
,,15:22:42,23:22:42:24,23:22:42,,,ye,1,
,,15:26:50,23:26:50:18,23:26:50,,,halibut,,
,,15:36:47,23:36:47:15,23:36:47,,E,,,
,,,,,,,,,
eykt_32,5/16/2017,16:48:29,00:48:29:23,00:48:29,,S,,,
,,17:14:48,01:14:48:03,01:14:48,,,halibut,,
